geoid,lon,lat,call_count,geoid_2020
420031203002,-79.9005408747582,40.4667509908845,1148,420031203002
420031204001,-79.9087869369979,40.4633827213871,995,420031209001
420031204002,-79.9115774465033,40.4666689717694,888,420031209001
420031207001,-79.9032362347684,40.4610019107636,1750,420031307003
420031207002,-79.9050734006901,40.4569792758943,1573,420031307003
420031208001,-79.9160529581977,40.4644645904739,1639,420031209002
420031208002,-79.9121427022301,40.4589888728302,3951,420031209002
420031301001,-79.8838429825241,40.4578426089047,2325,420031307001
420031301002,-79.8921526024379,40.4610894852872,1102,420031307002
420031301003,-79.898793729132,40.4613224593048,1483,420031307002
420031302001,-79.8910898515412,40.4578021091724,1694,420031302001
420031302002,-79.8955936252342,40.4594847346672,1572,420031302002
420031303001,-79.89430995367,40.4552959376802,2311,420031308002
420031303002,-79.8948088675628,40.4526340492953,1868,420031308003
420031303003,-79.8998782727412,40.4556785506584,3029,420031308002
420031304001,-79.8888803582365,40.4543436751335,1835,420031308001
420031304002,-79.8891664954052,40.4508339085488,1389,420031308003
420031304003,-79.8859816613825,40.449696902366,656,420031308001
420031306001,-79.8817258224521,40.4522004537342,1748,420031306001
420031306002,-79.8760693051727,40.4571302032878,1981,420031306001
420031306003,-79.8715513344861,40.4531892496901,5652,420031306002
420031401001,-79.9352631912314,40.4443036247585,474,420031401001
420031401002,-79.9337568297866,40.4403115397363,813,420031401002
420031401003,-79.9435853992368,40.4427380762474,1073,420031401001
420031401004,-79.9428583132874,40.4461823255086,1069,420031401001
420031402001,-79.9236013648265,40.4483713449596,459,420031402001
420031402002,-79.9297296796295,40.4471014518219,596,420031402002
420031403001,-79.9143770178437,40.4443747936829,314,420031403001
420031403002,-79.9159651917661,40.4403476003011,839,420031403004
420031403003,-79.9234621979784,40.4397224227583,856,420031403002
420031403004,-79.9230656159424,40.4427409881715,727,420031403003
420031404001,-79.9120119317899,40.4515097980419,558,420031404001
420031404002,-79.9143932873051,40.4473234776948,204,420031404002
420031404003,-79.9182206665712,40.4492227674947,578,420031404003
420031405001,-79.8977331330818,40.4500450550406,2993,420031405001
420031405002,-79.9060633773521,40.4541597207331,532,420031405002
420031405003,-79.9073228522572,40.452394701896,543,420031405002
420031406001,-79.9064921109112,40.4479271610934,825,420031412003
420031406002,-79.8988041938925,40.445169824432,585,420031412002
420031406003,-79.8953736788403,40.4430538606311,1596,420031412002
420031408001,-79.9142940846105,40.4322766145711,1007,420031408001
420031408002,-79.9190551206063,40.4355839508837,1762,420031408002
420031408003,-79.9212419979166,40.4310494607375,1235,420031408003
420031410001,-79.897620310157,40.4328978593504,552,420031412002
420031411001,-79.9049468367057,40.420693277606,997,420031411001
420031413001,-79.9284520730321,40.4360248778128,2122,420031413001
420031413002,-79.9298978005544,40.4311227542008,691,420031413002
420031413003,-79.9253395557956,40.4320533157132,4359,420031413003
420031414001,-79.9228289875104,40.4214478783657,422,420031414001
420031414002,-79.9207338533187,40.4243930201187,302,420031414002
420031414003,-79.9185766142869,40.4266113958283,423,420031414003
420031414004,-79.9169717367548,40.418928350084,5533,420031414004
420031414005,-79.9245817052058,40.4275579776201,1593,420031414005
420031516001,-79.9414175826809,40.4231303911489,1012,420031516001
420031516002,-79.9459987878703,40.4267964107122,1046,420031516002
420031516003,-79.9448494403311,40.4227741202347,376,420031516002
420031517001,-79.9277799224521,40.4228511391069,1288,420031517001
420031517002,-79.934532297659,40.4272718409877,1022,420031517002
420031517003,-79.9385305185647,40.4225210368166,492,420031517003
420031517004,-79.9354025902958,40.4216406797426,444,420031517004
420031517005,-79.9316113700663,40.4213466895628,988,420031517005
420031517006,-79.9318670519787,40.4254163074053,665,420031517006
420031608001,-79.9707758461244,40.4229787615233,360,420031608001
420031608002,-79.9656479237244,40.4216234756,639,420031608001
420031608003,-79.9687858875726,40.4192643852966,659,420031608002
420031608004,-79.9756079433207,40.4209407805222,1109,420031608001
420031609001,-79.9689045146005,40.4295604487375,3436,420031609001
420031609002,-79.9619369227734,40.4225256077526,4596,420031609002
420031702001,-79.9916743844978,40.4299757205122,4860,420031702001
420031702002,-79.9805533254415,40.4315391729821,2655,420031702002
420031702003,-79.9852109036637,40.4272794519788,2932,420031702003
420031702004,-79.9793291650169,40.426990406177,2937,420031702004
420031706001,-79.9876000142757,40.4249025431986,587,420031706001
420031706002,-79.9803424563577,40.4235250703143,788,420031706001
420031706003,-79.9840554446432,40.4197412552118,1076,420031706002
420031803001,-79.9943932431895,40.4247787021077,3275,420031803001
420031803002,-79.9928136350109,40.4209011155065,2602,420031803002
420031803003,-79.9927457257234,40.4191984901289,1215,420031803003
420031807001,-80.0017702315617,40.4265469330047,635,420031807001
420031807002,-80.0011317958185,40.4247165795558,894,420031807002
420031807003,-80.0010242234309,40.4228393292492,2099,420031807003
420031903001,-80.0137521186919,40.4347556996233,1136,420031903001
420031903002,-80.0162100508628,40.430080413364,766,420031903002
420031911001,-80.0231211220072,40.4314561986921,1303,420031911001
420031911002,-80.0261444781803,40.4386270107683,1857,420031911002
420031914001,-80.0064839921762,40.429208568485,3470,420031914001
420031914002,-80.0142086806421,40.4260341044075,1572,420031914002
420031915001,-80.0118294297291,40.4191738625581,1356,420031915002
420031915002,-80.0088797537163,40.4231332897711,1786,420031915002
420031916001,-80.0243346182024,40.4220106339788,1036,420031916001
420031916002,-80.0172439792104,40.4138390130856,856,420031916002
420031916003,-80.0199046876058,40.4112432840122,904,420031916002
420031916004,-80.0244273489683,40.4137966552987,903,420031916004
420031916005,-80.0279474467746,40.4122381913628,1195,420031916005
420031917001,-80.010929907877,40.4043762485459,2038,420031917001
420031917002,-80.0172501394567,40.3996704112874,410,420031917001
420031917003,-80.0186604546724,40.4029629739735,962,420031917002
420031918001,-80.0203941320592,40.3922983106136,1312,420031918001
420031918002,-80.0228479559115,40.3905127274342,526,420031918002
420031918003,-80.017146755447,40.3895380666216,739,420031918003
420031918004,-80.0262835876413,40.393514112433,1195,420031918004
420031918005,-80.0129296983389,40.3846556917272,697,420031918005
420031918006,-80.0092932361899,40.3860720563007,747,420031918006
420031918007,-80.0122472609114,40.3900969534223,1302,420031918007
420031919001,-80.0201247400514,40.3973882419927,500,420031919001
420031919002,-80.0190043676129,40.3946894085107,1120,420031919002
420031919003,-80.0268868828087,40.3963852773852,902,420031919003
420031920001,-80.0217077941073,40.405865157475,1020,420031920001
420031920002,-80.0253583805874,40.4016293508278,2059,420031920002
420031920003,-80.031323330618,40.4053209824914,1310,420031920003
420031920004,-80.0296749100469,40.4008989516841,1000,420031920004
420031920005,-80.0236042508772,40.4084245567453,624,420031920005
420032022001,-80.0636161687446,40.4524971314209,1878,420032022001
420032022002,-80.0624129675041,40.455146659176,1251,420032022002
420032022003,-80.0647482558033,40.4580401789706,569,420032022003
420032023001,-80.0358270642303,40.418478060428,1027,420032023001
420032023002,-80.0455118710232,40.4029813129977,1372,420032023002
420032023003,-80.0411171023405,40.4076137169466,2821,420032023003
420032023004,-80.0356760336045,40.4127847990111,1001,420032023004
420032107001,-80.0236523187025,40.4531605728633,3418,420035652001
420032107002,-80.0264675111689,40.4578787012252,1097,420035652002
420032206001,-80.0138146535357,40.4553122049366,2619,420035651001
420032206002,-80.0051551585138,40.4572612305367,12140,420035651001
420032406001,-79.9810803828379,40.4627894256834,1455,420032413002
420032406002,-79.9859580414332,40.4612042977602,2533,420032413002
420032412001,-79.9884382580125,40.4714316414819,649,420032413003
420032412002,-79.9915274265165,40.4600612142717,530,420032413003
420032503001,-80.0120342530303,40.4584967695093,1311,420035651001
420032507001,-80.0218664821257,40.4599490612354,2463,420035652003
