service,priority,call_quarter,call_year,geoid,record_count
EMS,E0,Q1,2016,420031204001,2
EMS,E0,Q1,2016,420031204002,4
EMS,E0,Q1,2016,420031207001,5
EMS,E0,Q1,2016,420031207002,9
EMS,E0,Q1,2016,420031208001,7
EMS,E0,Q1,2016,420031208002,20
EMS,E0,Q1,2016,420031301001,8
EMS,E0,Q1,2016,420031301002,5
EMS,E0,Q1,2016,420031301003,6
EMS,E0,Q1,2016,420031302001,12
EMS,E0,Q1,2016,420031302002,11
EMS,E0,Q1,2016,420031303001,13
EMS,E0,Q1,2016,420031303002,7
EMS,E0,Q1,2016,420031303003,24
EMS,E0,Q1,2016,420031304001,11
EMS,E0,Q1,2016,420031304002,6
EMS,E0,Q1,2016,420031304003,3
EMS,E0,Q1,2016,420031306001,7
EMS,E0,Q1,2016,420031306002,14
EMS,E0,Q1,2016,420031306003,25
EMS,E0,Q1,2016,420031401001,1
EMS,E0,Q1,2016,420031401002,4
EMS,E0,Q1,2016,420031401003,2
EMS,E0,Q1,2016,420031401004,6
EMS,E0,Q1,2016,420031402001,2
EMS,E0,Q1,2016,420031402002,7
EMS,E0,Q1,2016,420031403002,3
EMS,E0,Q1,2016,420031403003,3
EMS,E0,Q1,2016,420031403004,5
EMS,E0,Q1,2016,420031404001,1
EMS,E0,Q1,2016,420031404002,1
EMS,E0,Q1,2016,420031404003,3
EMS,E0,Q1,2016,420031405001,15
EMS,E0,Q1,2016,420031405002,3
EMS,E0,Q1,2016,420031405003,2
EMS,E0,Q1,2016,420031406001,6
EMS,E0,Q1,2016,420031406002,5
EMS,E0,Q1,2016,420031406003,6
EMS,E0,Q1,2016,420031408001,5
EMS,E0,Q1,2016,420031408002,10
EMS,E0,Q1,2016,420031408003,5
EMS,E0,Q1,2016,420031410001,3
EMS,E0,Q1,2016,420031411001,2
EMS,E0,Q1,2016,420031413001,18
EMS,E0,Q1,2016,420031413002,2
EMS,E0,Q1,2016,420031413003,18
EMS,E0,Q1,2016,420031414001,3
EMS,E0,Q1,2016,420031414003,2
EMS,E0,Q1,2016,420031414004,24
EMS,E0,Q1,2016,420031414005,5
EMS,E0,Q1,2016,420031516001,2
EMS,E0,Q1,2016,420031516002,1
EMS,E0,Q1,2016,420031516003,5
EMS,E0,Q1,2016,420031517001,4
EMS,E0,Q1,2016,420031517002,3
EMS,E0,Q1,2016,420031517003,3
EMS,E0,Q1,2016,420031517004,1
EMS,E0,Q1,2016,420031517005,6
EMS,E0,Q1,2016,420031608002,2
EMS,E0,Q1,2016,420031608003,4
EMS,E0,Q1,2016,420031608004,6
EMS,E0,Q1,2016,420031609001,19
EMS,E0,Q1,2016,420031609002,25
EMS,E0,Q1,2016,420031702001,37
EMS,E0,Q1,2016,420031702002,39
EMS,E0,Q1,2016,420031702003,35
EMS,E0,Q1,2016,420031702004,20
EMS,E0,Q1,2016,420031706001,2
EMS,E0,Q1,2016,420031706002,7
EMS,E0,Q1,2016,420031706003,12
EMS,E0,Q1,2016,420031803001,21
EMS,E0,Q1,2016,420031803002,9
EMS,E0,Q1,2016,420031803003,4
EMS,E0,Q1,2016,420031807001,9
EMS,E0,Q1,2016,420031807002,5
EMS,E0,Q1,2016,420031807003,14
EMS,E0,Q1,2016,420031903001,7
EMS,E0,Q1,2016,420031903002,5
EMS,E0,Q1,2016,420031911001,4
EMS,E0,Q1,2016,420031911002,11
EMS,E0,Q1,2016,420031914001,12
EMS,E0,Q1,2016,420031914002,15
EMS,E0,Q1,2016,420031915001,4
EMS,E0,Q1,2016,420031915002,6
EMS,E0,Q1,2016,420031916001,6
EMS,E0,Q1,2016,420031916002,5
EMS,E0,Q1,2016,420031916003,9
EMS,E0,Q1,2016,420031916004,7
EMS,E0,Q1,2016,420031916005,6
EMS,E0,Q1,2016,420031917001,13
EMS,E0,Q1,2016,420031917002,5
EMS,E0,Q1,2016,420031917003,8
EMS,E0,Q1,2016,420031918001,8
EMS,E0,Q1,2016,420031918002,3
EMS,E0,Q1,2016,420031918003,12
EMS,E0,Q1,2016,420031918004,11
EMS,E0,Q1,2016,420031918005,5
EMS,E0,Q1,2016,420031918006,6
EMS,E0,Q1,2016,420031918007,5
EMS,E0,Q1,2016,420031919001,4
EMS,E0,Q1,2016,420031919002,6
EMS,E0,Q1,2016,420031919003,4
EMS,E0,Q1,2016,420031920001,4
EMS,E0,Q1,2016,420031920002,5
EMS,E0,Q1,2016,420031920003,4
EMS,E0,Q1,2016,420031920004,5
EMS,E0,Q1,2016,420031920005,1
EMS,E0,Q1,2016,420032022001,9
EMS,E0,Q1,2016,420032022002,9
EMS,E0,Q1,2016,420032022003,4
EMS,E0,Q1,2016,420032023001,8
EMS,E0,Q1,2016,420032023002,10
EMS,E0,Q1,2016,420032023003,10
EMS,E0,Q1,2016,420032023004,6
EMS,E0,Q1,2016,420032107001,21
EMS,E0,Q1,2016,420032107002,6
EMS,E0,Q1,2016,420032206001,8
EMS,E0,Q1,2016,420032206002,11
EMS,E0,Q1,2016,420032406001,14
EMS,E0,Q1,2016,420032406002,21
EMS,E0,Q1,2016,420032412001,7
EMS,E0,Q1,2016,420032412002,5
EMS,E0,Q1,2016,420032503001,9
EMS,E0,Q1,2016,420032507001,11
EMS,E0,Q1,2016,420032509001,12
EMS,E0,Q1,2016,420032509002,5
EMS,E0,Q1,2016,420032602001,1
EMS,E0,Q1,2016,420032602002,8
EMS,E0,Q1,2016,420032602003,4
EMS,E0,Q1,2016,420032607001,1
EMS,E0,Q1,2016,420032607002,3
EMS,E0,Q1,2016,420032609001,24
EMS,E0,Q1,2016,420032612001,6
EMS,E0,Q1,2016,420032614001,8
EMS,E0,Q1,2016,420032614002,4
EMS,E0,Q1,2016,420032614003,8
EMS,E0,Q1,2016,420032614004,9
EMS,E0,Q1,2016,420032615001,6
EMS,E0,Q1,2016,420032615002,6
EMS,E0,Q1,2016,420032620001,11
EMS,E0,Q1,2016,420032620002,17
EMS,E0,Q1,2016,420032620003,6
EMS,E0,Q1,2016,420032701001,10
EMS,E0,Q1,2016,420032701002,8
EMS,E0,Q1,2016,420032703001,5
EMS,E0,Q1,2016,420032703002,10
EMS,E0,Q1,2016,420032704001,6
EMS,E0,Q1,2016,420032708001,4
EMS,E0,Q1,2016,420032708002,10
EMS,E0,Q1,2016,420032708003,8
EMS,E0,Q1,2016,420032715001,17
EMS,E0,Q1,2016,420032715002,16
EMS,E0,Q1,2016,420032715003,11
EMS,E0,Q1,2016,420032814001,4
EMS,E0,Q1,2016,420032814002,19
